Nosaukums,Saīsinājums,Kategorija,,,
"Pontanus Johannes Isaacus ""Rerum Danicarum historia""",JIP,publicēti materiāli,,,
"Pumpurs Andrejs ""Lāčplēsis""",PAL,publicēti materiāli,,,
Rancāna Nikodema krājums,RN,nepublicēti materiāli,,,
Rigaer Tageblatt,RT,publicēti materiāli,,,
Rīgas Latviešu biedrības Zinību komisijas krājums,RLB,nepublicēti materiāli,,,
Rīgas Ziņas,RZ,publicēti materiāli,,,
Rīts,Rīts,publicēti materiāli,,,
Rota,Rota,publicēti materiāli,,,
Rupjā J. Krājums,RJ,nepublicēti materiāli,,,
"Šablovskis, Johans Frīdrihs ""Pasakas ar bildēm""",ŠJH,publicēti materiāli,,,
Sēta un Skola,SuS,publicēti materiāli,,,
Sitzungs-Berichte der kurländischen Gesellschaft für Literatur und Kunst nebst Veröffentlichungen des kurländischen Provinzial-Museums,SBKG,publicēti materiāli,,,
Smeltera Pētera piezīmes,SmP,nepublicēti materiāli,,,
Spoku stāsti,SS,publicēti materiāli,,,
Spūļa B. krājums,SB,nepublicēti materiāli,,,
"Stavenhagen Wilhelm Siegfried ""Album Baltischer Ansichten. Kurland""",SWS,publicēti materiāli,,,
"Strenču mēnešraksts ""Atmoda""",Atmoda,publicēti materiāli,,,
Stroda P. krājums,SPK,nepublicēti materiāli,,,
"Tabine Rozālija ""Tautas posokas""",TRT,publicēti materiāli,,,
Tabines Rozālijas krājums,TR,nepublicēti materiāli,,,
Teikas par Dievu,TpD,publicēti materiāli,,,
Tēvija,Tēvija,publicēti materiāli,,,
"Ulanowska Stefania ""Łotysze Inflant Polskich a w szczególności gminy wielońskiej, powiatu rzeżyckiego : obraz etnograficzny""",US,publicēti materiāli,,,
Vārds,Vārds,publicēti materiāli,,,
"Veckenstedt, E. Zeitschrift für Volkskunde",VZV,publicēti materiāli,,,
"Weryho Władysław ""Podania łotewskie""",WW,publicēti materiāli,,,
Wolffeldt von M. Mittheilungen aus dem Strafrecht und dem Strafprocess in Livland Ehstland und Kurland,WM,publicēti materiāli,,,
Zalta vuorpom,ZV,publicēti materiāli,,,
Zbiór Wiadomości do Antropologii Krajowej,ZWAK,publicēti materiāli,,,
Živaja Starina,ŽS,publicēti materiāli,,,
"Žurnāls ""Zīdūnis""",ŽZ,publicēti materiāli,,,
