No teiku master tabulas,Garais nosaukums,Kods,Veids,,,,,,
"Drachen-Mythus, 25, 33.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 26, 34.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 26, 35.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 27, 36.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 27, 57.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 28, 38.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 29, 39.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 29, 40.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 29, 40.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 32, 42.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 32, 43.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 35, 46.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 35, 49.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 35, 49.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 38, 59.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 38, 60.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 39, 61.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 40, 62.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 42, 66.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 43, 68.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 46, 71.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 47, 76.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 48, 78.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 50, 53. 55.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 51, 86.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 53, 89.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 53, 90.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 56, 92.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 6, 1.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 6, 2.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 6, 2.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 60, 98.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 60, 99.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 61, 100.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 61, 101.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 64, 105.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 65, 106-109.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 7, 3.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 8, 3.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 9, 4.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 9, 5.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
Māc. R. Auniņa kr.,"Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"R. Auniņa ""Ueber den lett. Drachen-Mythus"", 72.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"R. Auning, Drachen-Mythus, 33, 44.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"R. Auning, U. d. lett. Drachenmythus, 1891, 55, 91b.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"""Austrums"" 1893, nr. 3.",Austrums,Austrums,periodika,,,,,,
"""Austrums"", 1893.",Austrums,Austrums,periodika,,,,,,
"""Austrums"", 1894. g. nr. 2.",Austrums,Austrums,periodika,,,,,,
"""Austrums"". 1894. g. nr. 2.",Austrums,Austrums,periodika,,,,,,
"""Balss,"" 1890. g. nr. 34.",Balss,Balss,periodika,,,,,,
"""Balss"" , 1891. g. nr. 25.",Balss,Balss,periodika,,,,,,
"""Balss"" 1879. g.",Balss,Balss,periodika,,,,,,
"""Balss"" 1883. g. nr. 31.",Balss,Balss,periodika,,,,,,
"""Balss"" 1884, 7.",Balss,Balss,periodika,,,,,,
"""Balss"" 1885. g. nr 35.",Balss,Balss,periodika,,,,,,
"""Balss"" 1886. g. nr. 44.",Balss,Balss,periodika,,,,,,
"""Balss"" 1887. g.",Balss,Balss,periodika,,,,,,
"""Balss"" 1887. g. nr 46.",Balss,Balss,periodika,,,,,,
"""Balss"" 1887. g. nr. 18.",Balss,Balss,periodika,,,,,,
"""Balss"" 1887. g. nr. 21.",Balss,Balss,periodika,,,,,,
"""Balss"" 1887. g. nr. 24.",Balss,Balss,periodika,,,,,,
"""Balss"" 1887. g. nr. 33.",Balss,Balss,periodika,,,,,,
"""Balss"" 1887. g. nr. 53.",Balss,Balss,periodika,,,,,,
"""Balss"" 1888. g. nr. 12.",Balss,Balss,periodika,,,,,,
"""Balss"" 1888. g. nr. 12.",Balss,Balss,periodika,,,,,,
"""Balss"" 1888. g. nr. 23.",Balss,Balss,periodika,,,,,,
"""Balss"" 1888. g. nr. 39.",Balss,Balss,periodika,,,,,,
"""Balss"" 1888. g. nr. 39.",Balss,Balss,periodika,,,,,,
"""Balss"" 1888. g. nr. 40.",Balss,Balss,periodika,,,,,,
"""Balss"" 1888. g. nr. 40.",Balss,Balss,periodika,,,,,,
"""Balss"" 1888. g. nr. 40.",Balss,Balss,periodika,,,,,,
"""Balss"" 1888. g. nr. 40.",Balss,Balss,periodika,,,,,,
"""Balss"" 1888. g. nr. 46.",Balss,Balss,periodika,,,,,,
"""Balss"" 1888. g. nr. 8.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889 g. nr. 42.",Balss,Balss,periodika,,,,,,
